date,state,race_known,ethnicity_known
2021-04-06,Kentucky,0.9290367,
2021-04-06,Louisiana,0.9840000,
2021-04-06,Maine,0.7996831,0.7264598
2021-04-06,Maryland,0.9497005,0.9447237
2021-04-06,Massachusetts,0.8844858,
2021-04-06,Michigan,0.6967616,
2021-04-06,Minnesota,0.8300000,
2021-04-06,Mississippi,0.9153814,0.9087933
2021-04-06,Missouri,0.7791413,0.7679613
2021-04-06,Montana,,
2021-04-06,Nebraska,0.9482180,0.9279549
2021-04-06,Nevada,,
2021-04-06,New Hampshire,,
2021-04-06,New Jersey,,
2021-04-06,New Mexico,0.9129254,
2021-04-06,New York,0.7657308,0.7563726
2021-04-06,New York City,0.8650840,
2021-04-06,North Carolina,0.9850000,0.9700000
2021-04-06,North Dakota,0.6420000,0.6290000
2021-04-06,Ohio,0.9421910,0.7918298
2021-04-06,Oklahoma,0.7743712,0.6945890
2021-04-06,Oregon,0.9009764,
2021-04-06,Pennsylvania*,0.8546525,0.6795848
2021-04-06,Philadelphia,0.9600000,
2021-04-06,Rhode Island,0.9009181,
2021-04-06,South Carolina,0.9324204,0.8757242
2021-04-06,South Dakota,,
2021-04-06,Tennessee,0.9264875,0.8643939
2021-04-06,Texas,0.8539357,
2021-04-06,Houston,,
2021-04-06,San Antonio,,
2021-04-06,Utah,0.9127757,
2021-04-06,Vermont,0.9400000,
2021-04-06,Virginia,0.6332542,
2021-04-06,Washington,0.9278652,
2021-04-06,West Virginia,0.9257624,
2021-04-06,Wisconsin,0.9258799,0.9325306
2021-04-06,Wyoming,,
2021-04-06,American Samoa,,
2021-04-06,Guam,,
2021-04-06,Northern Marianas,,
2021-04-06,Puerto Rico,,
2021-04-06,U.S. Virgin Islands,,
2021-04-06,Micronesia,,
2021-04-06,Marshall Islands,,
2021-04-06,Palau,,
2021-04-07,Alabama,0.7621698,0.1741091
2021-04-07,Alaska,0.8719036,0.7432553
2021-04-07,Arizona,0.8627625,
2021-04-07,Arkansas,,
2021-04-07,California,0.8540000,
2021-04-07,Colorado,0.8793000,
2021-04-07,Connecticut,0.9367583,
2021-04-07,Delaware,,
2021-04-07,District of Columbia,0.8620266,0.6865106
2021-04-07,Florida,0.8469291,0.6569330
2021-04-07,Georgia,0.9025155,0.7524275
2021-04-07,Hawaii,0.8185130,
2021-04-07,Idaho,0.7351158,0.6244102
2021-04-07,Illinois,0.9474998,
2021-04-07,Indiana,0.9608834,0.9264231
2021-04-07,Iowa,0.8516231,0.8079616
2021-04-07,Kansas,0.8774634,0.8067423
2021-04-07,Kentucky,0.9305221,
2021-04-07,Louisiana,0.9840000,
2021-04-07,Maine,0.8103019,0.7398266
2021-04-07,Maryland,0.9495333,0.9438064
2021-04-07,Massachusetts,0.8920290,
2021-04-07,Michigan,0.7155335,
2021-04-07,Minnesota,0.8400000,
2021-04-07,Mississippi,0.9164040,0.9094413
2021-04-07,Missouri,0.7903391,0.7808367
2021-04-07,Montana,,
2021-04-07,Nebraska,0.9631981,0.9314932
2021-04-07,Nevada,,
2021-04-07,New Hampshire,,
2021-04-07,New Jersey,,
2021-04-07,New Mexico,0.9164657,
2021-04-07,New York,0.7730396,0.7653876
2021-04-07,New York City,0.8807963,
2021-04-07,North Carolina,0.9840000,0.9680000
2021-04-07,North Dakota,0.6100000,0.5980000
2021-04-07,Ohio,0.9449302,0.7945810
2021-04-07,Oklahoma,0.7748449,0.6960376
2021-04-07,Oregon,0.9035476,
2021-04-07,Pennsylvania*,0.8606805,0.6952756
2021-04-07,Philadelphia,0.9600000,
2021-04-07,Rhode Island,0.9053485,
2021-04-07,South Carolina,0.9318152,0.8743342
2021-04-07,South Dakota,0.9113000,
2021-04-07,Tennessee,0.9299869,0.8676310
2021-04-07,Texas,0.8657175,
2021-04-07,Houston,,
2021-04-07,San Antonio,,
2021-04-07,Utah,0.8893751,
2021-04-07,Vermont,0.9300000,
2021-04-07,Virginia,0.6171932,
2021-04-07,Washington,0.9315757,
2021-04-07,West Virginia,0.9203178,
2021-04-07,Wisconsin,0.9279282,0.9342896
2021-04-07,Wyoming,,
2021-04-07,American Samoa,,
2021-04-07,Guam,,
2021-04-07,Northern Marianas,,
2021-04-07,Puerto Rico,,
2021-04-07,U.S. Virgin Islands,,
2021-04-07,Micronesia,,
2021-04-07,Marshall Islands,,
2021-04-07,Palau,,
